"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","7786","Birmingham, AL","774956","85","RB","Bus Rapid Transit","DO","8","3",,"16",,"19",,"243199",,"225921",,"0",,"0",
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","7786","Birmingham, AL","774956","85","DR","Demand Response","PT","12","7",,"15",,"22",,"65652",,"57089",,"0",,"0",
"Bloomington Public Transportation Corporation, dba: Bloomington Transit","Bloomington","IN","50110","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8380","Bloomington, IN","110103","51","DR","Demand Response","DO","6","0",,"1",,"1",,"132542",,"123552",,"0",,"0",
"Bloomington Public Transportation Corporation, dba: Bloomington Transit","Bloomington","IN","50110","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8380","Bloomington, IN","110103","51","MB","Bus","DO","26","20",,"28",,"48",,"956562",,"920734",,"0",,"0",
"Bloomington-Normal Public Transit System, dba: Connect Transit","Normal","IL","50047","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8407","Bloomington--Normal, IL","134100","44","DR","Demand Response","DO","18","17",,"16",,"33",,"544193",,"477632",,"0",,"0",
"Bloomington-Normal Public Transit System, dba: Connect Transit","Normal","IL","50047","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8407","Bloomington--Normal, IL","134100","44","MB","Bus","DO","26","165",,"343",,"508",,"1322187",,"1261890",,"0",,"0",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","DR","Demand Response","DO","36","34",,"27",,"61",,"942506",,"927866",,"0",,"0",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","DR","Demand Response","PT","165","18",,"79",,"97",,"1537623",,"1078025",,"0",,"0",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","MB","Bus","DO","9","31",,"20",,"51",,"408938",,"400191",,"0",,"0",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","CB","Commuter Bus","DO","3","1",,"3",,"4",,"97846",,"97719",,"0",,"0",
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8785","Boise City, ID","433180","77","MB","Bus","PT","38","133",,"19",,"152",,"1536291",,"1352129",,"0",,"0",
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8785","Boise City, ID","433180","77","DR","Demand Response","PT","35","11",,"3",,"14",,"720392",,"611336",,"0",,"0",
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","8785","Boise City, ID","433180","77","DR","Demand Response","DO","4","0",,"0",,"0",,"59378",,"46413",,"0",,"0",
"Borough of Pottstown, dba: Pottstown Area Rapid Transit","Pottstown","PA","30077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","6","DR","Demand Response","PT","1","1",,"6",,"7",,"26275",,"23007",,"0",,"0",
"Borough of Pottstown, dba: Pottstown Area Rapid Transit","Pottstown","PA","30077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","6","MB","Bus","PT","5","5",,"35",,"40",,"292708",,"287452",,"0",,"0",
"Brazos Transit District","Bryan","TX","60059","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18748","College Station--Bryan, TX","206137","67","DR","Demand Response","DO","50","2",,"360",,"362",,"1605163",,"1253475",,"0",,"0",
"Brazos Transit District","Bryan","TX","60059","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18748","College Station--Bryan, TX","206137","67","MB","Bus","DO","17","6",,"199",,"205",,"975435",,"953605",,"0",,"0",
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","82","DR","Demand Response","PT","38","20",,"35",,"55",,"536186",,"495972",,"0",,"0",
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","82","MB","Bus","PT","44","81",,"360",,"441",,"1225362",,"1168067",,"0",,"0",
"Broome County, dba: BC Transit","Binghamton","NY","20003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","7732","Binghamton, NY","155942","53","DR","Demand Response","DO","15","4",,"10",,"14",,"428948",,"378148",,"0",,"0",
"Broome County, dba: BC Transit","Binghamton","NY","20003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","7732","Binghamton, NY","155942","53","MB","Bus","DO","38","134",,"416",,"550",,"1260384",,"1176669",,"0",,"0",
"Broward County Board of County Commissioners, dba: Broward County Transit Division","Fort Lauderdale","FL","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","557","DR","Demand Response","PT","277","20",,"0",,"20",,"12416072",,"10186170",,"0",,"0",
"Broward County Board of County Commissioners, dba: Broward County Transit Division","Fort Lauderdale","FL","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","557","MB","Bus","DO","273","4725",,"411",,"5136",,"16268797",,"13892456",,"0",,"0",
"Broward County Board of County Commissioners, dba: Broward County Transit Division","Fort Lauderdale","FL","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56602","Miami--Fort Lauderdale, FL","6077522","557","MB","Bus","PT","7","18",,"0",,"18",,"311691",,"232315",,"0",,"0",
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY","20018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86302","Syracuse, NY","413660","183","DR","Demand Response","DO","28","14",,"51",,"65",,"625290",,"524701",,"0",,"0",
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY","20018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86302","Syracuse, NY","413660","183","DR","Demand Response","PT","24","17",,"25",,"42",,"1133283",,"1010876",,"0",,"0",
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY","20018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86302","Syracuse, NY","413660","183","MB","Bus","DO","131","201",,"408",,"609",,"4330052",,"4059051",,"0",,"0",
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","43291","Johnstown, PA","61521","43","DR","Demand Response","DO","11","12",,"5",,"17",,"242897",,"212826",,"0",,"0",
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","43291","Johnstown, PA","61521","43","IP","Inclined Plane","DO","0","0",,"0",,"0",,"0",,"0",,"0",,"0",
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","43291","Johnstown, PA","61521","43","MB","Bus","DO","32","202",,"171",,"373",,"1120697",,"1053715",,"0",,"0",
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","20","DR","Demand Response","PT","10","1",,"2",,"3",,"285130",,"250266",,"0",,"0",
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","20","MB","Bus","PT","10","2",,"8",,"10",,"278595",,"250768",,"0",,"0",
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5167","Barnstable Town, MA","303269","132","DR","Demand Response","PT","76","30",,"2",,"32",,"1386808",,"1105298",,"0",,"0",
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5167","Barnstable Town, MA","303269","132","MB","Bus","PT","48","105",,"21",,"126",,"1689984",,"1658602",,"0",,"0",
"City of Raleigh, dba: GoRaleigh","Raleigh","NC","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73261","Raleigh, NC","1106646","262","MB","Bus","PT","84","67",,"217",,"284",,"3939244",,"3649783",,"0",,"0",
"Capital Area Transportation Authority","Lansing","MI","50036","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","47719","Lansing, MI","318300","169","DR","Demand Response","DO","28","25",,"2",,"27",,"824386",,"669723",,"0",,"0",
"Capital Area Transportation Authority","Lansing","MI","50036","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","47719","Lansing, MI","318300","169","DR","Demand Response","PT","53","11",,"23",,"34",,"2148453",,"1788546",,"0",,"0",
"Capital Area Transportation Authority","Lansing","MI","50036","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","47719","Lansing, MI","318300","169","MB","Bus","DO","88","315",,"18",,"333",,"3690906",,"3474824",,"0",,"0",
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","970","Albany--Schenectady, NY","593142","345","DR","Demand Response","DO","29","40",,"85",,"125",,"805075",,"727352",,"0",,"0",
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","970","Albany--Schenectady, NY","593142","345","MB","Bus","DO","214","698",,"745",,"1443",,"10409306",,"8742022",,"0",,"0",
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","970","Albany--Schenectady, NY","593142","345","VP","Vanpool","PT","35","0",,"0",,"0",,"586583",,"586583",,"0",,"0",
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","970","Albany--Schenectady, NY","593142","345","CB","Commuter Bus","PT","9","4",,"4",,"8",,"416682",,"224478",,"0",,"0",
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","970","Albany--Schenectady, NY","593142","345","DR","Demand Response","PT","58","126",,"58",,"184",,"2379673",,"2111511",,"0",,"0",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","4384","Austin, TX","1809888","657","DR","Demand Response","PT","183","564",,"803",,"1367",,"6288573",,"5349198",,"0",,"0",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","4384","Austin, TX","1809888","657","MB","Bus","PT","290","1584",,"7014",,"8598",,"16033617",,"14671028",,"0",,"0",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","4384","Austin, TX","1809888","657","VP","Vanpool","PT","160","11",,"15",,"26",,"3086532",,"3086532",,"0",,"0",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","4384","Austin, TX","1809888","657","CB","Commuter Bus","PT","12","58",,"129",,"187",,"369135",,"207012",,"0",,"0",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","4384","Austin, TX","1809888","657","YR","Hybrid Rail","PT","12","30",,"0",,"30",,"845871",,"666249",,"422935",,"333124",
"Capital Area Transit System","Baton Rouge","LA","60022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5680","Baton Rouge, LA","631326","62","DR","Demand Response","PT","19","0",,"0",,"0","Q","1090037","Q","1009651","Q","0",,"0",
"Capital Area Transit System","Baton Rouge","LA","60022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5680","Baton Rouge, LA","631326","62","MB","Bus","DO","43","529",,"386","Q","915",,"2590688","Q","2473049",,"0",,"0",
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71263","Portland, ME","205356","4","FB","Ferryboat","DO","4","3",,"0",,"3",,"107039",,"106897",,"0",,"0",
"Rock Region Metropolitan Transit Authority, dba: Rock Region METRO","North Little Rock","AR","60033","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","50392","Little Rock, AR","461864","86","DR","Demand Response","DO","30","0",,"3",,"3",,"1365637",,"1133941",,"0",,"0",
